"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"1603",30600,"C7","MCH90","R4",2,"2 MCH90 R4",0.778449972718954,0.0350206630681927,3.8331055497676,1.96495266586567
"1604",31500,"C7","MCH90","R4",2,"2 MCH90 R4",0.753729971498251,-0.0186643756233552,3.55727640605626,0.65666855336209
"1605",32400,"C7","MCH90","R4",2,"2 MCH90 R4",0.755640000104904,-0.0253108872047261,3.77940771699108,1.32365440701783
"1606",33300,"C7","MCH90","R4",2,"2 MCH90 R4",0.743410028517246,-0.057882281189455,3.436989905729,-1.52241775516297
"1607",34200,"C7","MCH90","R4",2,"2 MCH90 R4",0.764439972490072,-0.0181612244565952,3.81282596122875,-0.36464886953344
"1608",35100,"C7","MCH90","R4",2,"2 MCH90 R4",0.758709975332022,0.00658541430593185,3.73366357419142,0.80267354645829
"1609",36000,"C7","MCH90","R4",2,"2 MCH90 R4",0.765200010687113,0.0125721791050487,3.84455616552408,0.454046425382901
"1610",36900,"C7","MCH90","R4",2,"2 MCH90 R4",0.762669990211725,0.0255776737760814,3.55036970420656,0.804693535732928
"1611",37800,"C7","MCH90","R4",2,"2 MCH90 R4",0.761530004441738,-0.0038139303127917,4.07707413576545,0.9974306652685
"1612",38700,"C7","MCH90","R4",2,"2 MCH90 R4",0.763749988377094,0.00662090508325658,3.96752322877796,1.03586187947718
"1613",39600,"C7","MCH90","R4",2,"2 MCH90 R4",0.769319973140955,0.00536972134192854,3.82619701648515,0.00897517585751777
"1614",40500,"C7","MCH90","R4",2,"2 MCH90 R4",0.766440016776323,0.00493101763295223,3.58752941314636,0.21897934905321
"1615",41400,"C7","MCH90","R4",2,"2 MCH90 R4",0.752029997855425,-0.0125533594015377,4.40400630346583,1.08642415316907
"1616",42300,"C7","MCH90","R4",2,"2 MCH90 R4",0.757469984143972,-0.00825658356160608,3.75237248571336,-0.986536105539392
"1617",43200,"C7","MCH90","R4",2,"2 MCH90 R4",0.76150998622179,-0.0102036867423766,3.73000143922361,-0.541858018730217
"1618",0,"C9","MCH50","R1",2,"2 MCH50 R1",0.0701799921691418,NA,1.58951942426446,NA
"1619",900,"C9","MCH50","R1",2,"2 MCH50 R1",0.0739800095558167,NA,1.25064336374961,NA
"1620",1800,"C9","MCH50","R1",2,"2 MCH50 R1",0.0824300043284893,NA,1.21088089948308,NA
"1621",2700,"C9","MCH50","R1",2,"2 MCH50 R1",0.103079995512962,NA,0.880939512473728,NA
"1622",3600,"C9","MCH50","R1",2,"2 MCH50 R1",0.108639985322952,0.436976270139782,0.802795499837765,-1.11048208600433
"1623",4500,"C9","MCH50","R1",2,"2 MCH50 R1",0.150730000436306,0.71169524414519,0.664686220584475,0.29547648264064
"1624",5400,"C9","MCH50","R1",2,"2 MCH50 R1",0.281099973618984,1.22676088322704,0.198135282007446,-1.21538052614596
"1625",6300,"C9","MCH50","R1",2,"2 MCH50 R1",0.320010007917881,1.13284692779361,0.450604779704552,1.10819876684072
"1626",7200,"C9","MCH50","R1",2,"2 MCH50 R1",0.335620006918907,1.12794005947595,0.670185013718935,2.30268055497563
"1627",8100,"C9","MCH50","R1",2,"2 MCH50 R1",0.353280027210712,0.851770860954692,1.15137106678457,4.25570531890748
"1628",9000,"C9","MCH50","R1",2,"2 MCH50 R1",0.389159989356995,0.325280158695303,1.727609916581,7.34435265470093
"1629",9900,"C9","MCH50","R1",2,"2 MCH50 R1",0.412319986522198,0.253447444168225,2.28243416666319,8.80357467533882
