"","time","well","iptg","strain","rbs","temp","OD660","fluor","mCherry","GFP","gfp_norm","mch_norm","lnOD660","experiment","groupID","gfp_expression","mch_expression","growthrate","tgt_fluor","tgt_expression"
"1247",18900,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.628760007768869,"mCherry",8775.5,11.6,18.4490105233667,13956.8355041211,-0.464005640766242,1,"1 MCH75 R0.25",14795.9392911959,26433562.0411921,0.154052608117275,8775.5,26433562.0411921
"1248",19800,"E2",0.01875,"MCH75","R0.25",37.2333333333333,0.643420001864433,"mCherry",9866.5,12.6,19.5828540665336,15334.4626704329,-0.440957576900971,1,"1 MCH75 R0.25",4166.45999118522,26851049.0174787,0.135295835430298,9866.5,26851049.0174787
"1249",20700,"E2",0.01875,"MCH75","R0.25",37.2,0.658640021830797,"mCherry",11036.7,12.6,19.1303285290442,16756.8013394049,-0.417578142846702,1,"1 MCH75 R0.25",5190.9932784852,26630372.2956603,0.1234833341385,11036.7,26630372.2956603
"1250",21600,"E2",0.01875,"MCH75","R0.25",37.0333333333333,0.670689985901117,"mCherry",11884.5,13.7,20.4267251457365,17719.8113134675,-0.399448266804793,1,"1 MCH75 R0.25",20191.0044350919,24745197.6576737,0.0983953581317188,11884.5,24745197.6576737
"1251",22500,"E2",0.01875,"MCH75","R0.25",37.1,0.683090017735958,"mCherry",12673.9,13.6,19.9095282420844,18553.7772049525,-0.381128630532255,1,"1 MCH75 R0.25",10960.238572515,21363697.0255462,0.0828770102339871,12673.9,21363697.0255462
"1252",23400,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.697090016305447,"mCherry",13350.8,12.8,18.3620475126578,19152.1893696868,-0.360840728346112,1,"1 MCH75 R0.25",1073.68777551179,18705251.5810783,0.0801168485548589,13350.8,18705251.5810783
"1253",24300,"E2",0.01875,"MCH75","R0.25",37.2,0.708460000157356,"mCherry",13891.5,13.5,19.0554159684407,19608.0230315255,-0.344661678527229,1,"1 MCH75 R0.25",4739.65535135275,15034186.7744908,0.0729164643194732,13891.5,15034186.7744908
"1254",25200,"E2",0.01875,"MCH75","R0.25",37.1,0.71826001778245,"mCherry",14504.7,14,19.4915485386803,20194.2188634997,-0.330923633733126,1,"1 MCH75 R0.25",1552.79947928775,13562150.6520993,0.0685246330716673,14504.7,13562150.6520993
"1255",26100,"E2",0.01875,"MCH75","R0.25",37.1333333333333,0.727100004255772,"mCherry",14899.6,12.8,17.6041808899472,20491.8166865514,-0.31869125347305,1,"1 MCH75 R0.25",-4074.70282140661,11336332.5870059,0.0624373770592047,14899.6,11336332.5870059
"1256",27000,"E2",0.01875,"MCH75","R0.25",37.0333333333333,0.735209976881742,"mCherry",15259,13.7,18.6341323306112,20754.6149804961,-0.307599137736568,1,"1 MCH75 R0.25",4517.41713342268,9577928.19333011,0.053241590609544,15259,9577928.19333011
"1257",27900,"E2",0.01875,"MCH75","R0.25",37,0.742189989238977,"mCherry",15755.8,15.4,20.7494040923279,21228.7961686947,-0.29815001840271,1,"1 MCH75 R0.25",9418.32224707976,9241356.92906881,0.0465116601245189,15755.8,9241356.92906881
"1258",28800,"E2",0.01875,"MCH75","R0.25",37.1333333333333,0.750309979915619,"mCherry",15986.4,14.9,19.8584590353919,21306.3939277442,-0.28726885128525,1,"1 MCH75 R0.25",4410.47955546902,7261119.50815378,0.0436547824478764,15986.4,7261119.50815378
"1259",29700,"E2",0.01875,"MCH75","R0.25",37.1333333333333,0.759329982846975,"mCherry",16314.9,14.6,19.2274772889381,21485.9157000888,-0.275318836058067,1,"1 MCH75 R0.25",8723.41930655703,6859030.74698343,0.0433724174149834,16314.9,6859030.74698343
"1260",30600,"E2",0.01875,"MCH75","R0.25",37.1666666666667,0.766899993270636,"mCherry",16640.2,15.1,19.6896598415685,21698.0051454085,-0.265398872986085,1,"1 MCH75 R0.25",6712.94706963251,6622801.78041177,0.0422002647504829,16640.2,6622801.78041177
"1261",31500,"E2",0.01875,"MCH75","R0.25",37.1,0.774719975143671,"mCherry",16827.4,16.9,21.8143336201779,21720.6223408392,-0.255253637316718,1,"1 MCH75 R0.25",7117.53168394008,5084764.63500681,0.042896381085992,16827.4,5084764.63500681
"1262",32400,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.779059989750385,"mCherry",17038.1,15.5,19.8957720893436,21870.0744797061,-0.249667227410954,1,"1 MCH75 R0.25",2819.60781943909,4942302.5728402,0.0376016238742954,17038.1,4942302.5728402
"1263",33300,"E2",0.01875,"MCH75","R0.25",37.2666666666667,0.783220015466213,"mCherry",17276.1,16.5,21.066877345031,22057.7866485145,-0.244341632083431,1,"1 MCH75 R0.25",8852.69590091405,4478532.26313608,0.0309772039746354,17276.1,4478532.26313608
"1264",34200,"E2",0.01875,"MCH75","R0.25",37.3666666666667,0.787750002741814,"mCherry",17474.6,16,20.3110123063294,22182.9259780115,-0.23857449486419,1,"1 MCH75 R0.25",4162.75875229139,3859339.89212434,0.0268243781218948,17474.6,3859339.89212434
"1265",35100,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.790579991042614,"mCherry",17657.1,17.9,22.6416051542027,22334.3623669426,-0.234988437012278,1,"1 MCH75 R0.25",4597.31366675732,3814391.14930854,0.02026520030444,17657.1,3814391.14930854
"1266",36000,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.794589999318123,"mCherry",17818.9,15.8,19.8844687367809,22425.2759477105,-0.229929021487381,1,"1 MCH75 R0.25",1372.23012866092,3571457.61486154,0.0197382059235733,17818.9,3571457.61486154
"1267",36900,"E2",0.01875,"MCH75","R0.25",37.1666666666667,0.795269996672869,"mCherry",17804.5,16.4,20.6219272305153,22387.9941082749,-0.229073603528661,1,"1 MCH75 R0.25",-455.53359373291,2407039.50928484,0.0152680285547705,17804.5,2407039.50928484
"1268",37800,"E2",0.01875,"MCH75","R0.25",37.1,0.798190000653267,"mCherry",17876.5,16.4,20.5464864087218,22396.2966027753,-0.22540861381597,1,"1 MCH75 R0.25",1815.25724145808,1823879.71335499,0.0131658810482194,17876.5,1823879.71335499
"1269",38700,"E2",0.01875,"MCH75","R0.25",37.2,0.801760017871857,"mCherry",17874.4,17.8,22.2011569587209,22293.9528057844,-0.220945945479942,1,"1 MCH75 R0.25",-452.216993180669,982667.526181522,0.0140424915323365,17874.4,982667.526181522
"1270",39600,"E2",0.01875,"MCH75","R0.25",37.1666666666667,0.801939975470304,"mCherry",17955.5,17.3,21.5726868957421,22390.0797431502,-0.220721517469777,1,"1 MCH75 R0.25",6763.95066517977,615970.440575698,0.00920750401760359,17955.5,615970.440575698
"1271",40500,"E2",0.01875,"MCH75","R0.25",37.1333333333333,0.803769975155592,"mCherry",17909.3,18.1,22.5188804750964,22281.6235410301,-0.218442151290488,1,"1 MCH75 R0.25",7648.22185376557,471490.382514489,0.0106314522381727,17909.3,471490.382514489
"1272",41400,"E2",0.01875,"MCH75","R0.25",37.1,0.805140030384064,"mCherry",17976,17.1,21.238541563811,22326.5510614659,-0.216739065903601,1,"1 MCH75 R0.25",3141.5179020296,446544.33035993,0.00866954791236957,17976,446544.33035993
"1273",42300,"E2",0.01875,"MCH75","R0.25",37.1666666666667,0.806600024551153,"mCherry",17944.9,17.8,22.067938827432,22247.5817676621,-0.21492736610504,1,"1 MCH75 R0.25",0,315733.687117971,0.00601857937490133,17944.9,315733.687117971
